#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 01 01 00 00 104  3.8  5.6 99.00 99.00 99.00 999 1018.1  13.7 999.0  11.8 99.0 99.00 
2024 01 01 00 10 116  3.8  5.8  2.22 10.81  8.32 275 1018.1  13.7 999.0  11.6 99.0 99.00 
2024 01 01 00 20 118  3.7  6.3 99.00 99.00 99.00 999 1018.0  13.7 999.0  11.6 99.0 99.00 
2024 01 01 00 30 120  3.6  5.2 99.00 99.00 99.00 999 1018.1  13.7 999.0  11.6 99.0 99.00 
2024 01 01 00 40 126  3.6  5.3  2.17 12.12  8.31 283 1018.1  13.6 999.0  11.5 99.0 99.00 
2024 01 01 00 50 135  3.2  5.5 99.00 99.00 99.00 999 1018.1  13.6 999.0  11.7 99.0 99.00 
2024 01 01 01 00 133  2.9  4.1 99.00 99.00 99.00 999 1018.3  13.6 999.0  11.7 99.0 99.00 
2024 01 01 01 10 124  2.7  4.2  2.16 12.90  8.42 291 1018.2  13.6 999.0  11.7 99.0 99.00 
2024 01 01 01 20 116  3.0  4.8 99.00 99.00 99.00 999 1018.1  13.6 999.0  11.5 99.0 99.00 
2024 01 01 01 30 106  3.0  4.8 99.00 99.00 99.00 999 1018.2  13.6 999.0  11.5 99.0 99.00 
2024 01 01 01 40 104  3.1  4.8  2.14 12.90  8.42 277 1018.2  13.6 999.0  11.4 99.0 99.00 
2024 01 01 01 50 104  2.9  4.5 99.00 99.00 99.00 999 1018.3  13.7 999.0  11.5 99.0 99.00 
2024 01 01 02 00 108  2.5  4.6 99.00 99.00 99.00 999 1018.5  13.7 999.0  11.7 99.0 99.00 
2024 01 01 02 10  92  2.5  4.0  2.22 12.90  8.61 280 1018.6  13.7 999.0  11.6 99.0 99.00 
2024 01 01 02 20  95  2.0  3.5 99.00 99.00 99.00 999 1018.9  13.8 999.0  11.6 99.0 99.00 
2024 01 01 02 30  97  2.1  3.4 99.00 99.00 99.00 999 1018.8  13.8 999.0  11.6 99.0 99.00 
2024 01 01 02 40  79  2.1  3.5  1.86 12.12  7.80 272 1018.8  13.8 999.0  11.6 99.0 99.00 
