#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 05 01 00 00 316 16.0 20.5 99.00 99.00 99.00 999 1015.8  10.9 999.0   8.4 99.0 99.00 
2024 05 01 00 10 315 16.6 21.5  3.35  7.69  6.12 330 1015.6  10.9 999.0   8.5 99.0 99.00 
2024 05 01 00 20 314 16.4 21.7 99.00 99.00 99.00 999 1015.6  10.9 999.0   8.6 99.0 99.00 
2024 05 01 00 30 314 16.4 21.6 99.00 99.00 99.00 999 1015.6  11.0 999.0   8.7 99.0 99.00 
2024 05 01 00 40 314 16.4 21.2  3.20  8.33  6.08 326 1015.5  10.9 999.0   8.5 99.0 99.00 
2024 05 01 00 50 315 16.9 21.5 99.00 99.00 99.00 999 1015.6  10.9 999.0   8.5 99.0 99.00 
2024 05 01 01 00 315 16.3 21.3 99.00 99.00 99.00 999 1015.6  10.9 999.0   8.5 99.0 99.00 
2024 05 01 01 10 316 16.7 21.5  3.52  7.69  6.34 326 1015.8  10.9 999.0   8.6 99.0 99.00 
2024 05 01 01 20 316 15.5 19.5 99.00 99.00 99.00 999 1015.9  10.8 999.0   8.7 99.0 99.00 
2024 05 01 01 30 316 15.7 20.7 99.00 99.00 99.00 999 1015.8  10.8 999.0   8.7 99.0 99.00 
2024 05 01 01 40 315 16.5 20.7  3.51  7.69  6.26 328 1015.9  10.8 999.0   8.6 99.0 99.00 
2024 05 01 01 50 316 15.4 19.5 99.00 99.00 99.00 999 1016.0  10.8 999.0   8.6 99.0 99.00 
2024 05 01 02 00 316 15.1 19.0 99.00 99.00 99.00 999 1016.1  10.8 999.0   8.5 99.0 99.00 
2024 05 01 02 10 316 14.8 18.5  3.47  8.33  6.27 323 1015.9  10.8 999.0   8.3 99.0 99.00 
2024 05 01 02 20 314 15.4 20.6 99.00 99.00 99.00 999 1015.7  10.8 999.0   8.3 99.0 99.00 
2024 05 01 02 30 313 15.5 20.0 99.00 99.00 99.00 999 1015.8  10.8 999.0   8.3 99.0 99.00 
2024 05 01 02 40 313 15.3 20.3  3.41  8.33  6.30 323 1015.9  10.8 999.0   8.3 99.0 99.00 
2024 05 01 02 50 314 15.4 19.5 99.00 99.00 99.00 999 1015.9  10.7 999.0   8.3 99.0 99.00 
2024 05 01 03 00 313 15.6 19.8 99.00 99.00 99.00 999 1016.0  10.7 999.0   8.3 99.0 99.00 
2024 05 01 03 10 314 15.7 19.7  3.10  7.69  6.21 324 1016.0  10.7 999.0   8.4 99.0 99.00 
2024 05 01 03 20 313 16.0 19.4 99.00 99.00 99.00 999 1016.0  10.7 999.0   8.4 99.0 99.00 
2024 05 01 03 30 316 15.7 20.7 99.00 99.00 99.00 999 1016.2  10.7 999.0   8.5 99.0 99.00 
2024 05 01 03 40 319 14.8 19.6  3.59  7.69  6.46 330 1016.3  10.6 999.0   8.6 99.0 99.00 
2024 05 01 03 50 315 15.3 19.0 99.00 99.00 99.00 999 1016.2  10.6 999.0   8.6 99.0 99.00 
2024 05 01 04 00 315 15.0 19.7 99.00 99.00 99.00 999 1016.3  10.6 999.0   8.7 99.0 99.00 
2024 05 01 04 10 318 14.4 18.4  3.51  7.14  6.46 328 1016.5  10.5 999.0   8.6 99.0 99.00 
2024 05 01 04 20 320 14.6 18.9 99.00 99.00 99.00 999 1016.7  10.6 999.0   8.7 99.0 99.00 
2024 05 01 04 30 322 14.4 18.1 99.00 99.00 99.00 999 1017.0  10.5 999.0   8.7 99.0 99.00 
2024 05 01 04 40 323 14.1 17.4  3.58  8.33  6.57 318 1017.1  10.5 999.0   8.7 99.0 99.00 
2024 05 01 04 50 322 14.0 18.1 99.00 99.00 99.00 999 1016.8  10.5 999.0   8.7 99.0 99.00 
2024 05 01 05 00 319 14.4 18.0 99.00 99.00 99.00 999 1016.7  10.5 999.0   8.8 99.0 99.00 
2024 05 01 05 10 317 15.2 18.5  3.33  7.69  6.39 327 1016.5  10.5 999.0   8.7 99.0 99.00 
2024 05 01 05 20 318 14.8 18.6 99.00 99.00 99.00 999 1016.4  10.5 999.0   8.7 99.0 99.00 
2024 05 01 05 30 317 15.2 19.4 99.00 99.00 99.00 999 1016.3  10.5 999.0   8.7 99.0 99.00 
2024 05 01 05 40 317 14.9 18.5  3.49  7.69  6.49 325 1016.2  10.5 999.0   8.6 99.0 99.00 
2024 05 01 05 50 320 14.6 19.0 99.00 99.00 99.00 999 1016.5  10.5 999.0   8.6 99.0 99.00 
