receive_time,data_time,data_value,raw_value,data_quality
2023-02-15 00:05:05,2023-02-15 00:04:59,1.52200000,0.47200000,A
2023-02-15 00:11:05,2023-02-15 00:10:59,1.57900000,0.52900000,A
2023-02-15 00:17:05,2023-02-15 00:16:59,1.61600000,0.56600000,A
2023-02-15 00:23:05,2023-02-15 00:22:59,1.66000000,0.61000000,A
2023-02-15 00:29:05,2023-02-15 00:28:59,1.75800000,0.70800000,A
2023-02-15 00:35:05,2023-02-15 00:34:59,1.75600000,0.70600000,A
2023-02-15 00:41:05,2023-02-15 00:40:59,1.83700000,0.78700000,A
2023-02-15 00:47:05,2023-02-15 00:46:59,1.88400000,0.83400000,A
2023-02-15 00:53:05,2023-02-15 00:52:59,1.92200000,0.87200000,A
2023-02-15 00:59:05,2023-02-15 00:58:59,2.08700000,1.03700000,A
2023-02-15 01:05:05,2023-02-15 01:04:59,2.19700000,1.14700000,A
2023-02-15 01:11:05,2023-02-15 01:10:59,2.29500000,1.24500000,A
2023-02-15 01:17:05,2023-02-15 01:16:59,2.42900000,1.37900000,A
2023-02-15 01:23:05,2023-02-15 01:22:59,2.55100000,1.50100000,A
2023-02-15 01:29:05,2023-02-15 01:28:59,2.62700000,1.57700000,A
2023-02-15 01:35:05,2023-02-15 01:34:59,2.68700000,1.63700000,A
2023-02-15 01:41:04,2023-02-15 01:40:59,2.75500000,1.70500000,A
2023-02-15 01:47:04,2023-02-15 01:46:59,2.78400000,1.73400000,A
2023-02-15 01:53:04,2023-02-15 01:52:59,2.86300000,1.81300000,A
2023-02-15 01:59:04,2023-02-15 01:58:59,2.92000000,1.87000000,A
2023-02-15 02:05:04,2023-02-15 02:04:59,2.98900000,1.93900000,A
2023-02-15 02:11:04,2023-02-15 02:10:59,2.96900000,1.91900000,A
2023-02-15 02:17:04,2023-02-15 02:16:59,3.04800000,1.99800000,A
2023-02-15 02:23:04,2023-02-15 02:22:59,3.03200000,1.98200000,A
2023-02-15 02:29:04,2023-02-15 02:28:59,2.94800000,1.89800000,A
