#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 04 01 00 00 312 13.3 17.4 99.00 99.00 99.00 999 1006.8  12.0 999.0  10.1 99.0 99.00 
2024 04 01 00 10 311 13.9 16.9  3.60 10.81  7.18 311 1006.6  12.0 999.0  10.0 99.0 99.00 
2024 04 01 00 20 311 13.6 17.2 99.00 99.00 99.00 999 1006.5  12.0 999.0  10.1 99.0 99.00 
2024 04 01 00 30 312 13.7 17.8 99.00 99.00 99.00 999 1006.4  12.0 999.0  10.1 99.0 99.00 
2024 04 01 00 40 312 13.9 17.1  3.67 11.43  7.19 309 1006.3  12.0 999.0  10.1 99.0 99.00 
2024 04 01 00 50 310 13.0 16.4 99.00 99.00 99.00 999 1006.3  12.0 999.0  10.2 99.0 99.00 
2024 04 01 01 00 311 14.2 17.8 99.00 99.00 99.00 999 1006.0  11.9 999.0  10.1 99.0 99.00 
2024 04 01 01 10 312 14.2 18.8  3.78 10.81  7.11 313 1005.9  11.9 999.0  10.1 99.0 99.00 
2024 04 01 01 20 313 13.7 17.2 99.00 99.00 99.00 999 1005.9  11.9 999.0  10.1 99.0 99.00 
2024 04 01 01 30 314 14.5 18.3 99.00 99.00 99.00 999 1006.0  11.9 999.0  10.1 99.0 99.00 
2024 04 01 01 40 314 13.9 18.8  3.99 11.43  7.25 310 1006.1  11.9 999.0  10.1 99.0 99.00 
2024 04 01 01 50 314 13.5 17.9 99.00 99.00 99.00 999 1006.1  11.9 999.0  10.1 99.0 99.00 
2024 04 01 02 00 315 13.4 17.5 99.00 99.00 99.00 999 1006.1  11.9 999.0  10.1 99.0 99.00 
2024 04 01 02 10 316 13.7 17.2  3.80 10.81  7.16 311 1006.2  11.9 999.0  10.1 99.0 99.00 
2024 04 01 02 20 317 13.3 16.9 99.00 99.00 99.00 999 1006.2  11.9 999.0  10.1 99.0 99.00 
2024 04 01 02 30 318 13.2 16.4 99.00 99.00 99.00 999 1006.3  11.9 999.0  10.1 99.0 99.00 
2024 04 01 02 40 320 12.9 17.0  3.89 10.81  7.09 316 1006.4  11.9 999.0  10.1 99.0 99.00 
2024 04 01 02 50 321 12.6 17.2 99.00 99.00 99.00 999 1006.5  12.0 999.0  10.3 99.0 99.00 
2024 04 01 03 00 321 12.1 15.4 99.00 99.00 99.00 999 1006.8  12.0 999.0  10.3 99.0 99.00 
2024 04 01 03 10 322 11.7 14.9  3.64 10.81  7.11 315 1007.1  12.0 999.0  10.4 99.0 99.00 
2024 04 01 03 20 322 11.5 14.5 99.00 99.00 99.00 999 1007.3  12.1 999.0  10.5 99.0 99.00 
2024 04 01 03 30 322 11.4 15.0 99.00 99.00 99.00 999 1007.4  12.1 999.0  10.6 99.0 99.00 
2024 04 01 03 40 322 11.3 14.6  3.84 10.81  7.39 312 1007.4  12.1 999.0  10.6 99.0 99.00 
2024 04 01 03 50 323 10.8 14.1 99.00 99.00 99.00 999 1007.5  12.1 999.0  10.6 99.0 99.00 
2024 04 01 04 00 325 10.2 13.2 99.00 99.00 99.00 999 1007.8  12.1 999.0  10.7 99.0 99.00 
2024 04 01 04 10 325 10.1 12.9  3.50 10.00  7.23 307 1007.9  12.1 999.0  10.7 99.0 99.00 
2024 04 01 04 20 327 10.1 13.4 99.00 99.00 99.00 999 1008.2  12.1 999.0  10.7 99.0 99.00 
2024 04 01 04 30 330  9.3 14.1 99.00 99.00 99.00 999 1008.4  12.2 999.0  10.8 99.0 99.00 
2024 04 01 04 40 329  9.3 12.1  3.49  9.09  7.12 315 1008.6  12.2 999.0  10.8 99.0 99.00 
2024 04 01 04 50 331  8.8 12.0 99.00 99.00 99.00 999 1009.0  12.3 999.0  10.8 99.0 99.00 
2024 04 01 05 00 331  8.6 11.5 99.00 99.00 99.00 999 1009.1  12.3 999.0  10.8 99.0 99.00 
2024 04 01 05 10 330  8.3 10.9  3.73 10.81  7.46 304 1009.2  12.2 999.0  10.7 99.0 99.00 
2024 04 01 05 20 330  8.3 11.0 99.00 99.00 99.00 999 1009.4  12.2 999.0  10.7 99.0 99.00 
2024 04 01 05 30 329  7.8 10.9 99.00 99.00 99.00 999 1009.5  12.2 999.0  10.8 99.0 99.00 
2024 04 01 05 40 330  7.6 10.2  3.39 10.00  7.55 312 1009.6  12.2 999.0  10.8 99.0 99.00 
2024 04 01 05 50 334  6.9  9.4 99.00 99.00 99.00 999 1009.6  12.3 999.0  11.0 99.0 99.00 
2024 04 01 06 00 332  7.3  9.7 99.00 99.00 99.00 999 1009.8  12.2 999.0  10.9 99.0 99.00 
2024 04 01 06 10 332  7.0  9.2  3.59 10.00  7.60 313 1009.9  12.2 999.0  10.9 99.0 99.00 
2024 04 01 06 20 332  6.8  8.6 99.00 99.00 99.00 999 1010.1  12.2 999.0  10.9 99.0 99.00 
2024 04 01 06 30 331  6.5  8.5 99.00 99.00 99.00 999 1010.1  12.2 999.0  10.9 99.0 99.00 
2024 04 01 06 40 330  6.1  8.0  3.74 10.81  7.94 307 1010.3  12.2 999.0  10.9 99.0 99.00 
2024 04 01 06 50 331  5.8  8.1 99.00 99.00 99.00 999 1010.6  12.2 999.0  10.9 99.0 99.00 
2024 04 01 07 00 330  5.6  8.2 99.00 99.00 99.00 999 1010.5  12.3 999.0  11.0 99.0 99.00 
2024 04 01 07 10 333  5.8  8.0  3.52 10.00  7.77 310 1010.5  12.3 999.0  11.0 99.0 99.00 
2024 04 01 07 20 337  5.8  7.6 99.00 99.00 99.00 999 1010.8  12.2 999.0  10.9 99.0 99.00 
2024 04 01 07 30 338  5.7  7.5 99.00 99.00 99.00 999 1010.8  12.2 999.0  10.9 99.0 99.00 
2024 04 01 07 40 340  5.3  7.7  3.76 10.81  8.19 309 1010.8  12.2 999.0  10.9 99.0 99.00 
