#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 07 22 02 40 320 12.0 15.0   3.3    MM   6.4 312 1010.1  12.5    MM  11.8   MM   MM    MM
2024 07 22 02 30 320 12.0 15.0    MM    MM    MM  MM 1010.2  12.6    MM  11.9   MM   MM    MM
2024 07 22 02 20 320 12.0 15.0   3.0     8   6.2 311 1010.1  12.7    MM  12.0   MM   MM    MM
2024 07 22 02 10 320 13.0 15.0   3.0    MM   6.2 311 1010.1  12.7    MM  12.0   MM   MM    MM
2024 07 22 02 00 320 13.0 17.0    MM    MM    MM  MM 1010.1  12.7    MM  12.0   MM -1.9    MM
2024 07 22 01 50 320 14.0 17.0   3.0     9   6.1 312 1010.1  12.8    MM  12.1   MM   MM    MM
2024 07 22 01 40 320 13.0 16.0    MM    MM    MM  MM 1010.2  12.8    MM  12.1   MM   MM    MM
2024 07 22 01 30 320 13.0 17.0    MM    MM    MM  MM 1010.4  12.8    MM  12.1   MM   MM    MM
2024 07 22 01 20 320 13.0 16.0   3.0     8   6.2 316 1010.4  12.8    MM  12.1   MM   MM    MM
2024 07 22 01 10 320 13.0 16.0   3.0    MM   6.2 316 1010.5  12.7    MM  12.0   MM   MM    MM
2024 07 22 01 00 320 13.0 17.0    MM    MM    MM  MM 1010.6  12.8    MM  12.1   MM -1.8    MM
2024 07 22 00 50 320 13.0 16.0   2.8     8   5.9 317 1010.7  12.8    MM  12.1   MM   MM    MM
2024 07 22 00 40 320 13.0 16.0    MM    MM    MM  MM 1010.8  12.8    MM  12.1   MM   MM    MM
2024 07 22 00 30 320 13.0 16.0    MM    MM    MM  MM 1011.0  12.7    MM  12.0   MM   MM    MM
2024 07 22 00 20 320 13.0 16.0   2.8     8   6.0 315 1011.2  12.8    MM  12.1   MM   MM    MM
2024 07 22 00 10 320 13.0 15.0   2.8    MM   6.0 315 1011.3  12.7    MM  12.1   MM   MM    MM
2024 07 22 00 00 320 13.0 16.0    MM    MM    MM  MM 1011.4  12.7    MM  12.1   MM -1.7    MM
2024 07 21 23 50 320 13.0 16.0   2.4     7   5.6 320 1011.5  12.7    MM  12.2   MM   MM    MM
2024 07 21 23 40 320 13.0 17.0    MM    MM    MM  MM 1011.6  12.7    MM  12.2   MM   MM    MM
2024 07 21 23 30 320 13.0 16.0    MM    MM    MM  MM 1011.8  12.7    MM  12.2   MM   MM    MM
2024 07 21 23 20 320 13.0 16.0   2.4     7   5.6 317 1011.8  12.7    MM  12.2   MM   MM    MM
2024 07 21 23 10 320 13.0 16.0   2.4    MM   5.6 317 1011.8  12.6    MM  12.1   MM   MM    MM
