#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 06 01 00 00 312  8.1 10.6 99.00 99.00 99.00 999 1011.3  11.4 999.0  10.4 99.0 99.00 
2024 06 01 00 10 310  8.3 10.7  2.04  9.09  5.68 318 1011.3  11.4 999.0  10.4 99.0 99.00 
2024 06 01 00 20 310  8.7 11.1 99.00 99.00 99.00 999 1011.2  11.5 999.0  10.4 99.0 99.00 
2024 06 01 00 30 311  8.7 11.2 99.00 99.00 99.00 999 1011.2  11.5 999.0  10.4 99.0 99.00 
2024 06 01 00 40 314  9.5 12.9  2.13 10.00  5.63 305 1011.1  11.6 999.0  10.5 99.0 99.00 
2024 06 01 00 50 311 10.3 13.1 99.00 99.00 99.00 999 1011.0  11.6 999.0  10.5 99.0 99.00 
2024 06 01 01 00 311 10.3 13.2 99.00 99.00 99.00 999 1010.9  11.6 999.0  10.5 99.0 99.00 
2024 06 01 01 10 311 10.8 13.1  2.32  5.88  5.62 315 1010.7  11.6 999.0  10.5 99.0 99.00 
2024 06 01 01 20 311 10.8 14.1 99.00 99.00 99.00 999 1010.6  11.6 999.0  10.5 99.0 99.00 
2024 06 01 01 30 310 11.4 14.7 99.00 99.00 99.00 999 1010.3  11.5 999.0  10.3 99.0 99.00 
2024 06 01 01 40 308 12.0 14.9  2.38  5.88  5.48 310 1010.2  11.5 999.0  10.2 99.0 99.00 
2024 06 01 01 50 307 12.2 15.7 99.00 99.00 99.00 999 1010.1  11.5 999.0  10.2 99.0 99.00 
2024 06 01 02 00 306 12.9 17.6 99.00 99.00 99.00 999 1010.0  11.5 999.0  10.2 99.0 99.00 
2024 06 01 02 10 305 13.4 17.4  2.40  9.09  5.61 323 1010.0  11.5 999.0  10.2 99.0 99.00 
2024 06 01 02 20 307 13.4 16.6 99.00 99.00 99.00 999 1010.1  11.6 999.0  10.3 99.0 99.00 
2024 06 01 02 30 308 13.4 17.7 99.00 99.00 99.00 999 1009.9  11.5 999.0  10.3 99.0 99.00 
2024 06 01 02 40 309 13.2 16.4  2.29  6.67  5.46 314 1010.0  11.5 999.0  10.4 99.0 99.00 
2024 06 01 02 50 311 13.2 16.1 99.00 99.00 99.00 999 1010.0  11.4 999.0  10.3 99.0 99.00 
2024 06 01 03 00 312 12.8 16.0 99.00 99.00 99.00 999 1010.0  11.4 999.0  10.4 99.0 99.00 
2024 06 01 03 10 310 13.2 15.9  2.39  7.14  5.46 321 1010.1  11.4 999.0  10.4 99.0 99.00 
2024 06 01 03 20 310 13.1 16.8 99.00 99.00 99.00 999 1009.9  11.4 999.0  10.4 99.0 99.00 
2024 06 01 03 30 309 13.3 16.5 99.00 99.00 99.00 999 1009.8  11.3 999.0  10.3 99.0 99.00 
2024 06 01 03 40 309 14.1 17.7  2.65  6.25  5.62 322 1009.8  11.3 999.0  10.3 99.0 99.00 
2024 06 01 03 50 310 13.5 16.8 99.00 99.00 99.00 999 1009.8  11.3 999.0  10.3 99.0 99.00 
2024 06 01 04 00 312 13.2 16.9 99.00 99.00 99.00 999 1010.1  11.3 999.0  10.3 99.0 99.00 
2024 06 01 04 10 316 13.1 16.7  2.64  7.14  5.66 315 1010.1  11.3 999.0  10.3 99.0 99.00 
2024 06 01 04 20 314 13.3 17.4 99.00 99.00 99.00 999 1010.3  11.3 999.0  10.2 99.0 99.00 
2024 06 01 04 30 314 12.9 16.7 99.00 99.00 99.00 999 1010.3  11.2 999.0  10.2 99.0 99.00 
2024 06 01 04 40 315 13.6 16.6  2.62  9.09  5.82 316 1010.2  11.3 999.0  10.2 99.0 99.00 
2024 06 01 04 50 314 13.4 16.7 99.00 99.00 99.00 999 1010.3  11.2 999.0  10.1 99.0 99.00 
2024 06 01 05 00 314 13.2 16.2 99.00 99.00 99.00 999 1010.4  11.2 999.0  10.2 99.0 99.00 
2024 06 01 05 10 315 13.1 16.8  2.64  6.25  5.65 315 1010.5  11.2 999.0  10.1 99.0 99.00 
2024 06 01 05 20 315 12.5 16.0 99.00 99.00 99.00 999 1010.5  11.2 999.0  10.1 99.0 99.00 
2024 06 01 05 30 316 13.5 16.2 99.00 99.00 99.00 999 1010.5  11.2 999.0  10.1 99.0 99.00 
2024 06 01 05 40 315 13.0 16.0  2.44  5.88  5.51 324 1010.5  11.1 999.0  10.0 99.0 99.00 
2024 06 01 05 50 315 12.8 16.3 99.00 99.00 99.00 999 1010.8  11.1 999.0  10.0 99.0 99.00 
2024 06 01 06 00 314 12.4 15.2 99.00 99.00 99.00 999 1010.8  11.1 999.0  10.0 99.0 99.00 
2024 06 01 06 10 312 12.6 16.3  2.59  7.14  5.75 318 1010.7  11.1 999.0  10.0 99.0 99.00 
2024 06 01 06 20 312 12.2 15.1 99.00 99.00 99.00 999 1010.5  11.0 999.0   9.9 99.0 99.00 
2024 06 01 06 30 312 12.7 16.9 99.00 99.00 99.00 999 1010.4  11.0 999.0   9.9 99.0 99.00 
2024 06 01 06 40 311 13.0 16.9  2.58  9.09  5.67 326 1010.5  11.0 999.0   9.9 99.0 99.00 
2024 06 01 06 50 312 13.3 16.3 99.00 99.00 99.00 999 1010.5  11.0 999.0   9.9 99.0 99.00 
2024 06 01 07 00 313 13.1 16.5 99.00 99.00 99.00 999 1010.7  11.0 999.0  10.0 99.0 99.00 
2024 06 01 07 10 315 12.7 15.4  2.57  9.09  5.70 309 1010.6  10.9 999.0   9.9 99.0 99.00 
2024 06 01 07 20 316 12.8 15.7 99.00 99.00 99.00 999 1010.6  10.9 999.0   9.9 99.0 99.00 
2024 06 01 07 30 315 13.2 15.9 99.00 99.00 99.00 999 1010.7  10.9 999.0   9.9 99.0 99.00 
2024 06 01 07 40 314 12.9 16.7  2.51  6.67  5.73 313 1010.8  10.9 999.0  10.0 99.0 99.00 
2024 06 01 07 50 314 12.9 16.9 99.00 99.00 99.00 999 1010.8  10.9 999.0  10.1 99.0 99.00 
2024 06 01 08 00 314 13.0 15.7 99.00 99.00 99.00 999 1010.7  10.9 999.0  10.1 99.0 99.00 
2024 06 01 08 10 315 13.7 18.0  2.73  8.33  5.93 316 1010.6  10.9 999.0  10.1 99.0 99.00 
2024 06 01 08 20 315 13.9 18.0 99.00 99.00 99.00 999 1010.6  10.9 999.0  10.1 99.0 99.00 
2024 06 01 08 30 314 13.8 17.0 99.00 99.00 99.00 999 1010.6  10.9 999.0  10.1 99.0 99.00 
2024 06 01 08 40 317 13.6 17.3  2.72  9.09  5.88 315 1010.7  10.9 999.0  10.1 99.0 99.00 
2024 06 01 08 50 317 13.9 17.7 99.00 99.00 99.00 999 1010.7  10.9 999.0  10.1 99.0 99.00 
2024 06 01 09 00 316 13.9 17.5 99.00 99.00 99.00 999 1010.6  10.9 999.0  10.1 99.0 99.00 
2024 06 01 09 10 315 14.7 18.0  2.89  7.14  5.97 313 1010.6  10.9 999.0  10.2 99.0 99.00 
2024 06 01 09 20 315 14.4 17.9 99.00 99.00 99.00 999 1010.6  10.8 999.0  10.1 99.0 99.00 
2024 06 01 09 30 314 14.3 18.6 99.00 99.00 99.00 999 1010.7  10.8 999.0  10.1 99.0 99.00 
2024 06 01 09 40 314 14.1 17.7  2.75  7.14  5.82 311 1010.7  10.8 999.0  10.1 99.0 99.00 
2024 06 01 09 50 315 13.9 17.2 99.00 99.00 99.00 999 1010.6  10.8 999.0  10.1 99.0 99.00 
2024 06 01 10 00 316 13.8 18.3 99.00 99.00 99.00 999 1010.7  10.8 999.0  10.2 99.0 99.00 
2024 06 01 10 10 316 13.5 16.4  3.01  7.69  6.04 313 1010.7  10.7 999.0  10.1 99.0 99.00 
2024 06 01 10 20 316 13.4 16.2 99.00 99.00 99.00 999 1010.7  10.7 999.0  10.0 99.0 99.00 
2024 06 01 10 30 316 12.8 16.3 99.00 99.00 99.00 999 1010.6  10.7 999.0  10.1 99.0 99.00 
2024 06 01 10 40 315 13.1 16.4  2.94  8.33  6.05 323 1010.6  10.7 999.0  10.2 99.0 99.00 
2024 06 01 10 50 314 13.3 17.3 99.00 99.00 99.00 999 1010.6  10.7 999.0  10.2 99.0 99.00 
2024 06 01 11 00 316 12.8 16.3 99.00 99.00 99.00 999 1010.6  10.6 999.0  10.1 99.0 99.00 
2024 06 01 11 10 316 13.2 15.9  2.96  8.33  5.98 313 1010.7  10.6 999.0  10.1 99.0 99.00 
2024 06 01 11 20 316 13.3 17.2 99.00 99.00 99.00 999 1010.7  10.6 999.0  10.1 99.0 99.00 
2024 06 01 11 30 316 13.6 17.3 99.00 99.00 99.00 999 1010.7  10.6 999.0  10.1 99.0 99.00 
2024 06 01 11 40 318 13.3 17.2  2.90  8.33  6.01 313 1010.7  10.6 999.0  10.1 99.0 99.00 
2024 06 01 11 50 319 13.3 16.0 99.00 99.00 99.00 999 1010.8  10.6 999.0  10.1 99.0 99.00 
2024 06 01 12 00 317 13.2 16.8 99.00 99.00 99.00 999 1010.8  10.5 999.0  10.1 99.0 99.00 
2024 06 01 12 10 314 14.0 17.4  2.92  7.69  6.04 315 1010.9  10.6 999.0  10.2 99.0 99.00 
2024 06 01 12 20 317 13.3 16.8 99.00 99.00 99.00 999 1011.0  10.5 999.0  10.1 99.0 99.00 
2024 06 01 12 30 317 13.2 16.3 99.00 99.00 99.00 999 1011.1  10.5 999.0  10.1 99.0 99.00 
2024 06 01 12 40 317 13.7 17.7  2.87  7.69  6.00 316 1011.1  10.6 999.0  10.2 99.0 99.00 
2024 06 01 12 50 319 14.7 19.0 99.00 99.00 99.00 999 1011.1  10.6 999.0  10.1 99.0 99.00 
2024 06 01 13 00 318 14.7 19.1 99.00 99.00 99.00 999 1011.0  10.5 999.0  10.0 99.0 99.00 
2024 06 01 13 10 318 14.2 17.7  3.03  7.69  5.99 313 1011.1  10.5 999.0  10.1 99.0 99.00 
2024 06 01 13 20 317 14.8 18.3 99.00 99.00 99.00 999 1011.2  10.5 999.0  10.1 99.0 99.00 
2024 06 01 13 30 316 14.4 19.5 99.00 99.00 99.00 999 1011.2  10.5 999.0  10.1 99.0 99.00 
2024 06 01 13 40 318 14.6 18.4  2.98  8.33  6.03 315 1011.4  10.5 999.0  10.0 99.0 99.00 
2024 06 01 13 50 318 14.2 18.5 99.00 99.00 99.00 999 1011.4  10.5 999.0  10.0 99.0 99.00 
2024 06 01 14 00 317 14.3 17.8 99.00 99.00 99.00 999 1011.4  10.5 999.0  10.0 99.0 99.00 
2024 06 01 14 10 316 14.7 17.9  3.09  7.14  5.99 312 1011.5  10.5 999.0  10.0 99.0 99.00 
2024 06 01 14 20 315 14.5 18.3 99.00 99.00 99.00 999 1011.5  10.5 999.0  10.0 99.0 99.00 
2024 06 01 14 30 316 14.0 18.3 99.00 99.00 99.00 999 1011.7  10.5 999.0  10.0 99.0 99.00 
2024 06 01 14 40 315 14.3 18.2  3.17  7.69  6.07 319 1011.7  10.6 999.0  10.1 99.0 99.00 
2024 06 01 14 50 312 14.7 18.8 99.00 99.00 99.00 999 1011.8  10.6 999.0  10.1 99.0 99.00 
2024 06 01 15 00 310 15.0 19.9 99.00 99.00 99.00 999 1011.9  10.6 999.0  10.1 99.0 99.00 
2024 06 01 15 10 312 15.0 19.9  3.11  7.69  6.09 320 1012.0  10.6 999.0  10.1 99.0 99.00 
2024 06 01 15 20 311 14.4 18.8 99.00 99.00 99.00 999 1012.0  10.6 999.0  10.1 99.0 99.00 
2024 06 01 15 30 312 13.9 17.3 99.00 99.00 99.00 999 1012.3  10.6 999.0  10.1 99.0 99.00 
2024 06 01 15 40 310 14.4 17.8  3.13  7.69  6.13 318 1012.2  10.6 999.0  10.1 99.0 99.00 
2024 06 01 15 50 312 14.2 17.9 99.00 99.00 99.00 999 1012.3  10.6 999.0  10.1 99.0 99.00 
2024 06 01 16 00 310 15.1 20.5 99.00 99.00 99.00 999 1012.3  10.7 999.0  10.2 99.0 99.00 
