#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 03 01 00 00 245  5.9  8.0 99.00 99.00 99.00 999 1014.2  11.5 999.0  10.1 99.0 99.00 
2024 03 01 00 10 240  5.9  7.6  3.36 11.43  7.46 305 1014.1  11.5 999.0  10.2 99.0 99.00 
2024 03 01 00 20 235  5.9  7.5 99.00 99.00 99.00 999 1014.0  11.6 999.0  10.4 99.0 99.00 
2024 03 01 00 30 240  5.8  7.4 99.00 99.00 99.00 999 1013.9  11.5 999.0  10.2 99.0 99.00 
2024 03 01 00 40 236  5.6  7.5  3.13 11.43  7.39 305 1013.9  11.6 999.0  10.1 99.0 99.00 
2024 03 01 00 50 239  6.1  7.9 99.00 99.00 99.00 999 1014.0  11.8 999.0   9.9 99.0 99.00 
2024 03 01 01 00 237  6.3  7.9 99.00 99.00 99.00 999 1014.0  11.9 999.0   9.8 99.0 99.00 
2024 03 01 01 10 248  6.3  9.4  3.10 10.81  7.58 304 1014.3  11.9 999.0   9.9 99.0 99.00 
2024 03 01 01 20 278  7.4  9.8 99.00 99.00 99.00 999 1014.4  11.2 999.0   9.5 99.0 99.00 
2024 03 01 01 30 265  6.6  8.9 99.00 99.00 99.00 999 1014.5  10.8 999.0   9.3 99.0 99.00 
2024 03 01 01 40 257  6.3  8.4  2.95 12.12  7.63 300 1014.4  10.6 999.0   9.3 99.0 99.00 
2024 03 01 01 50 240  4.7  6.6 99.00 99.00 99.00 999 1014.3  10.5 999.0   9.2 99.0 99.00 
2024 03 01 02 00 235  4.4  5.8 99.00 99.00 99.00 999 1014.4  10.7 999.0   9.2 99.0 99.00 
2024 03 01 02 10 232  4.2  5.7  2.88 12.12  7.47 309 1014.3  11.0 999.0   9.4 99.0 99.00 
2024 03 01 02 20 226  4.3  5.5 99.00 99.00 99.00 999 1014.3  11.2 999.0   9.4 99.0 99.00 
2024 03 01 02 30 227  4.2  5.5 99.00 99.00 99.00 999 1014.3  11.3 999.0   9.5 99.0 99.00 
