receive_time,data_time,data_value,raw_value,data_quality
2023-02-25 00:02:55,2023-02-25 00:02:47,5.39770000,6.49770000,A
2023-02-25 00:08:55,2023-02-25 00:08:47,5.40980000,6.50980000,A
2023-02-25 00:14:55,2023-02-25 00:14:47,5.40740000,6.50740000,A
2023-02-25 00:20:55,2023-02-25 00:20:47,5.38560000,6.48560000,A
2023-02-25 00:27:00,2023-02-25 00:26:47,5.35170000,6.45170000,A
2023-02-25 00:32:55,2023-02-25 00:32:47,5.32510000,6.42510000,A
2023-02-25 00:38:55,2023-02-25 00:38:47,5.26940000,6.36940000,A
2023-02-25 00:44:55,2023-02-25 00:44:47,5.21860000,6.31860000,A
2023-02-25 00:50:55,2023-02-25 00:50:47,5.20410000,6.30410000,A
2023-02-25 00:57:00,2023-02-25 00:56:47,5.19200000,6.29200000,A
2023-02-25 01:02:54,2023-02-25 01:02:47,5.12910000,6.22910000,A
2023-02-25 01:08:54,2023-02-25 01:08:47,5.07340000,6.17340000,A
2023-02-25 01:14:54,2023-02-25 01:14:47,5.01780000,6.11780000,A
2023-02-25 01:21:00,2023-02-25 01:20:47,4.94760000,6.04760000,A
2023-02-25 01:26:59,2023-02-25 01:26:47,4.86290000,5.96290000,A
2023-02-25 01:32:54,2023-02-25 01:32:47,4.78300000,5.88300000,A
2023-02-25 01:38:54,2023-02-25 01:38:47,4.70320000,5.80320000,A
2023-02-25 01:44:54,2023-02-25 01:44:47,4.61600000,5.71600000,A
2023-02-25 01:50:55,2023-02-25 01:50:47,4.50230000,5.60230000,A
2023-02-25 01:57:00,2023-02-25 01:56:47,4.41280000,5.51280000,A
2023-02-25 02:02:55,2023-02-25 02:02:47,4.30630000,5.40630000,A
2023-02-25 02:08:55,2023-02-25 02:08:47,4.21190000,5.31190000,A
2023-02-25 02:14:55,2023-02-25 02:14:47,4.11030000,5.21030000,A
2023-02-25 02:20:55,2023-02-25 02:20:47,4.00860000,5.10860000,A
2023-02-25 02:27:00,2023-02-25 02:26:47,3.91420000,5.01420000,A
2023-02-25 02:32:55,2023-02-25 02:32:47,3.81740000,4.91740000,A
2023-02-25 02:38:55,2023-02-25 02:38:47,3.72790000,4.82790000,A
2023-02-25 02:44:55,2023-02-25 02:44:47,3.63590000,4.73590000,A
2023-02-25 02:50:55,2023-02-25 02:50:47,3.53430000,4.63430000,A
2023-02-25 02:57:00,2023-02-25 02:56:47,3.42300000,4.52300000,A
2023-02-25 03:02:55,2023-02-25 03:02:47,3.33590000,4.43590000,A
2023-02-25 03:08:55,2023-02-25 03:08:47,3.23910000,4.33910000,A
2023-02-25 03:15:00,2023-02-25 03:14:47,3.13980000,4.23980000,A
2023-02-25 03:20:55,2023-02-25 03:20:47,3.05030000,4.15030000,A
2023-02-25 03:27:00,2023-02-25 03:26:47,2.96320000,4.06320000,A
2023-02-25 03:32:55,2023-02-25 03:32:47,2.90030000,4.00030000,A
2023-02-25 03:38:55,2023-02-25 03:38:47,2.84220000,3.94220000,A
2023-02-25 03:44:55,2023-02-25 03:44:47,2.79620000,3.89620000,A
2023-02-25 03:50:55,2023-02-25 03:50:47,2.74540000,3.84540000,A
2023-02-25 03:57:00,2023-02-25 03:56:47,2.66070000,3.76070000,A
2023-02-25 04:02:55,2023-02-25 04:02:47,2.58320000,3.68320000,A
2023-02-25 04:08:55,2023-02-25 04:08:47,2.50820000,3.60820000,A
2023-02-25 04:14:55,2023-02-25 04:14:47,2.44050000,3.54050000,A
2023-02-25 04:20:55,2023-02-25 04:20:47,2.38240000,3.48240000,A
2023-02-25 04:27:00,2023-02-25 04:26:47,2.32430000,3.42430000,A
2023-02-25 04:32:55,2023-02-25 04:32:47,2.27110000,3.37110000,A
2023-02-25 04:38:55,2023-02-25 04:38:47,2.22510000,3.32510000,A
2023-02-25 04:44:55,2023-02-25 04:44:47,2.18640000,3.28640000,A
2023-02-25 04:50:55,2023-02-25 04:50:47,2.15250000,3.25250000,A
