,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9,pred_res_mean,std_dev
2022-11-13 06:00:00+00:00,-0.21072245,-0.2067962,-0.20400438,-0.20414498,-0.20937258,-0.20234597,-0.19866958,-0.20537439,-0.20209134,-0.2056627,-0.20491846,0.0035419036
2022-11-13 07:00:00+00:00,-0.21027511,-0.20754617,-0.20428252,-0.20415574,-0.2107813,-0.20134565,-0.19923976,-0.20568106,-0.20166764,-0.20605353,-0.20510285,0.0037722394
2022-11-13 08:00:00+00:00,-0.20969516,-0.20826611,-0.20490104,-0.20444015,-0.21266475,-0.2005392,-0.2008045,-0.20685059,-0.20181766,-0.20673284,-0.20567119,0.003962802
2022-11-13 09:00:00+00:00,-0.20831403,-0.20933864,-0.20598516,-0.20496199,-0.21503043,-0.20038259,-0.20348307,-0.2094065,-0.20291856,-0.2078107,-0.20676318,0.004157613
2022-11-13 10:00:00+00:00,-0.20424524,-0.20945561,-0.20483473,-0.20334879,-0.21561056,-0.1988188,-0.20411193,-0.21072301,-0.20251021,-0.2068438,-0.20605028,0.0047851247
2022-11-13 11:00:00+00:00,-0.19928351,-0.20883769,-0.20234436,-0.2009213,-0.215195,-0.1955109,-0.2030532,-0.21082857,-0.20103914,-0.20473957,-0.20417531,0.0058858884
2022-11-13 12:00:00+00:00,-0.19353014,-0.20821273,-0.19998556,-0.19933784,-0.21489346,-0.19205627,-0.2024306,-0.20934337,-0.199992,-0.20309198,-0.20228739,0.0070325416
2022-11-13 13:00:00+00:00,-0.18464214,-0.20754683,-0.19763997,-0.19780406,-0.21456107,-0.18885955,-0.20225444,-0.20682064,-0.19827414,-0.20145196,-0.19998547,0.0087941475
2022-11-13 14:00:00+00:00,-0.18109766,-0.20744425,-0.19640672,-0.19763234,-0.21529704,-0.18711835,-0.20372668,-0.20555055,-0.19773069,-0.20095277,-0.1992957,0.009871189
2022-11-13 15:00:00+00:00,-0.18046105,-0.20751289,-0.19574773,-0.19779131,-0.21645132,-0.186863,-0.20647866,-0.20550999,-0.19851282,-0.20098606,-0.19963148,0.010427311
