receive_time,data_time,data_value,raw_value,data_quality
2024-09-19 19:44:20,2024-09-19 19:44:11,3.63090000,1.78090000,A
2024-09-19 19:50:20,2024-09-19 19:50:11,3.71280000,1.86280000,A
2024-09-19 19:56:20,2024-09-19 19:56:11,3.79870000,1.94870000,A
2024-09-19 20:02:20,2024-09-19 20:02:11,3.88060000,2.03060000,A
2024-09-19 20:08:20,2024-09-19 20:08:11,3.97890000,2.12890000,A
2024-09-19 20:14:20,2024-09-19 20:14:11,4.07710000,2.22710000,A
2024-09-19 20:20:20,2024-09-19 20:20:11,4.17540000,2.32540000,A
2024-09-19 20:26:20,2024-09-19 20:26:11,4.28180000,2.43180000,A
2024-09-19 20:32:20,2024-09-19 20:32:11,4.37190000,2.52190000,A
2024-09-19 20:38:20,2024-09-19 20:38:11,4.47830000,2.62830000,A
2024-09-19 20:44:20,2024-09-19 20:44:11,4.58070000,2.73070000,A
2024-09-19 20:50:20,2024-09-19 20:50:11,4.68300000,2.83300000,A
2024-09-19 20:56:20,2024-09-19 20:56:11,4.76900000,2.91900000,A
2024-09-19 21:02:20,2024-09-19 21:02:11,4.86320000,3.01320000,A
2024-09-19 21:08:20,2024-09-19 21:08:11,4.95330000,3.10330000,A
2024-09-19 21:14:20,2024-09-19 21:14:11,5.03510000,3.18510000,A
2024-09-19 21:20:20,2024-09-19 21:20:11,5.11700000,3.26700000,A
2024-09-19 21:26:20,2024-09-19 21:26:11,5.17840000,3.32840000,A
2024-09-19 21:32:20,2024-09-19 21:32:11,5.27260000,3.42260000,A
2024-09-19 21:38:20,2024-09-19 21:38:11,5.33810000,3.48810000,A
2024-09-19 21:44:20,2024-09-19 21:44:11,5.38310000,3.53310000,A
2024-09-19 21:50:20,2024-09-19 21:50:11,5.39130000,3.54130000,A
2024-09-19 21:56:20,2024-09-19 21:56:11,5.41590000,3.56590000,A
2024-09-19 22:02:20,2024-09-19 22:02:11,5.42410000,3.57410000,A
2024-09-19 22:08:20,2024-09-19 22:08:11,5.42410000,3.57410000,A
2024-09-19 22:14:20,2024-09-19 22:14:11,5.48140000,3.63140000,A
2024-09-19 22:20:20,2024-09-19 22:20:11,5.49370000,3.64370000,A
2024-09-19 22:26:20,2024-09-19 22:26:11,5.56330000,3.71330000,A
2024-09-19 22:32:20,2024-09-19 22:32:11,5.57550000,3.72550000,A
2024-09-19 22:38:20,2024-09-19 22:38:11,5.65740000,3.80740000,A
2024-09-19 22:44:20,2024-09-19 22:44:11,5.70250000,3.85250000,A
2024-09-19 22:50:20,2024-09-19 22:50:11,5.75980000,3.90980000,A
2024-09-19 22:56:20,2024-09-19 22:56:11,5.80070000,3.95070000,A
2024-09-19 23:02:20,2024-09-19 23:02:11,5.87030000,4.02030000,A
2024-09-19 23:08:20,2024-09-19 23:08:11,5.93580000,4.08580000,A
2024-09-19 23:14:20,2024-09-19 23:14:11,5.95630000,4.10630000,A
2024-09-19 23:20:20,2024-09-19 23:20:11,6.01360000,4.16360000,A
2024-09-19 23:26:20,2024-09-19 23:26:11,6.03410000,4.18410000,A
2024-09-19 23:32:20,2024-09-19 23:32:11,6.06270000,4.21270000,A
2024-09-19 23:38:20,2024-09-19 23:38:11,6.06270000,4.21270000,A
2024-09-19 23:44:20,2024-09-19 23:44:11,6.08320000,4.23320000,A
2024-09-19 23:50:20,2024-09-19 23:50:11,6.06270000,4.21270000,A
2024-09-19 23:56:20,2024-09-19 23:56:11,5.97270000,4.12270000,A
2024-09-20 00:02:20,2024-09-20 00:02:11,5.98900000,4.13900000,A
2024-09-20 00:08:20,2024-09-20 00:08:11,5.93990000,4.08990000,A
2024-09-20 00:14:20,2024-09-20 00:14:11,5.91120000,4.06120000,A
2024-09-20 00:20:20,2024-09-20 00:20:11,5.85800000,4.00800000,A
2024-09-20 00:26:20,2024-09-20 00:26:11,5.82940000,3.97940000,A
2024-09-20 00:32:20,2024-09-20 00:32:11,5.74340000,3.89340000,A
2024-09-20 00:38:20,2024-09-20 00:38:11,5.69020000,3.84020000,A
2024-09-20 00:44:20,2024-09-20 00:44:11,5.65740000,3.80740000,A
2024-09-20 00:50:20,2024-09-20 00:50:11,5.57140000,3.72140000,A
