STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
NAP,H,20,FLOW,20230228 0000,20230228 0000,1016, ,CFS
NAP,H,20,FLOW,20230228 0100,20230228 0100,997, ,CFS
NAP,H,20,FLOW,20230228 0200,20230228 0200,978, ,CFS
NAP,H,20,FLOW,20230228 0300,20230228 0300,954, ,CFS
NAP,H,20,FLOW,20230228 0400,20230228 0400,929, ,CFS
NAP,H,20,FLOW,20230228 0500,20230228 0500,908, ,CFS
NAP,H,20,FLOW,20230228 0600,20230228 0600,881, ,CFS
NAP,H,20,FLOW,20230228 0700,20230228 0700,881, ,CFS
NAP,H,20,FLOW,20230228 0800,20230228 0800,878, ,CFS
NAP,H,20,FLOW,20230228 0900,20230228 0900,899, ,CFS
NAP,H,20,FLOW,20230228 1000,20230228 1000,978, ,CFS
NAP,H,20,FLOW,20230228 1100,20230228 1100,1093, ,CFS
NAP,H,20,FLOW,20230228 1200,20230228 1200,1210, ,CFS
NAP,H,20,FLOW,20230228 1300,20230228 1300,1342, ,CFS
NAP,H,20,FLOW,20230228 1400,20230228 1400,1443, ,CFS
NAP,H,20,FLOW,20230228 1500,20230228 1500,1593, ,CFS
NAP,H,20,FLOW,20230228 1600,20230228 1600,1706, ,CFS
NAP,H,20,FLOW,20230228 1700,20230228 1700,1777, ,CFS
NAP,H,20,FLOW,20230228 1800,20230228 1800,1809, ,CFS
NAP,H,20,FLOW,20230228 1900,20230228 1900,1805, ,CFS
NAP,H,20,FLOW,20230228 2000,20230228 2000,1809, ,CFS
NAP,H,20,FLOW,20230228 2100,20230228 2100,1817, ,CFS
NAP,H,20,FLOW,20230228 2200,20230228 2200,1821, ,CFS
NAP,H,20,FLOW,20230228 2300,20230228 2300,1821, ,CFS
NAP,H,20,FLOW,20230301 0000,20230301 0000,1801, ,CFS
NAP,H,20,FLOW,20230301 0100,20230301 0100,1769, ,CFS
NAP,H,20,FLOW,20230301 0200,20230301 0200,1733, ,CFS
NAP,H,20,FLOW,20230301 0300,20230301 0300,1694, ,CFS
NAP,H,20,FLOW,20230301 0400,20230301 0400,1662, ,CFS
NAP,H,20,FLOW,20230301 0500,20230301 0500,1601, ,CFS
NAP,H,20,FLOW,20230301 0600,20230301 0600,1562, ,CFS
NAP,H,20,FLOW,20230301 0700,20230301 0700,1517, ,CFS
NAP,H,20,FLOW,20230301 0800,20230301 0800,1487, ,CFS
NAP,H,20,FLOW,20230301 0900,20230301 0900,1439, ,CFS
NAP,H,20,FLOW,20230301 1000,20230301 1000,1414, ,CFS
NAP,H,20,FLOW,20230301 1100,20230301 1100,1374, ,CFS
NAP,H,20,FLOW,20230301 1200,20230301 1200,1331, ,CFS
NAP,H,20,FLOW,20230301 1300,20230301 1300,1303, ,CFS
NAP,H,20,FLOW,20230301 1400,20230301 1400,1268, ,CFS
NAP,H,20,FLOW,20230301 1500,20230301 1500,1233, ,CFS
NAP,H,20,FLOW,20230301 1600,20230301 1600,1210, ,CFS
NAP,H,20,FLOW,20230301 1700,20230301 1700,1186, ,CFS
NAP,H,20,FLOW,20230301 1800,20230301 1800,1176, ,CFS
NAP,H,20,FLOW,20230301 1900,20230301 1900,1139, ,CFS
NAP,H,20,FLOW,20230301 2000,20230301 2000,1116, ,CFS
