,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4
2022-11-13 04:00:00+00:00,-0.20899707,-0.2096776,-0.20584503,-0.21315074,-0.20849267
2022-11-13 05:00:00+00:00,-0.20613691,-0.20809948,-0.20338121,-0.21007061,-0.20533487
2022-11-13 06:00:00+00:00,-0.20314407,-0.20723125,-0.20124686,-0.20643955,-0.20246464
2022-11-13 07:00:00+00:00,-0.2002874,-0.20441529,-0.20010966,-0.20254284,-0.19937843
2022-11-13 08:00:00+00:00,-0.19847569,-0.20323136,-0.19890678,-0.19984159,-0.19801638
2022-11-13 09:00:00+00:00,-0.19775954,-0.20147887,-0.19803402,-0.19840032,-0.19691426
2022-11-13 10:00:00+00:00,-0.19737273,-0.20014715,-0.197472,-0.19733262,-0.1965504
2022-11-13 11:00:00+00:00,-0.19698992,-0.20011872,-0.19589746,-0.19596955,-0.19693744
2022-11-13 12:00:00+00:00,-0.19693938,-0.20137227,-0.1944125,-0.19446513,-0.19751418
2022-11-13 13:00:00+00:00,-0.19591337,-0.20335579,-0.19326633,-0.19244844,-0.19779384
2022-11-13 14:00:00+00:00,-0.19472283,-0.20440313,-0.19186497,-0.19048318,-0.19744948
2022-11-13 15:00:00+00:00,-0.19380155,-0.20180672,-0.19060865,-0.1885041,-0.19626302
2022-11-13 16:00:00+00:00,-0.19464242,-0.20051906,-0.18993813,-0.18860656,-0.19582331
2022-11-13 17:00:00+00:00,-0.1962286,-0.19989917,-0.19045934,-0.18981418,-0.19694519
2022-11-13 18:00:00+00:00,-0.19794929,-0.19931528,-0.19140801,-0.1914058,-0.19874033
2022-11-13 19:00:00+00:00,-0.19932783,-0.19959569,-0.19273278,-0.19329149,-0.20055044
2022-11-13 20:00:00+00:00,-0.19931623,-0.19999403,-0.19347501,-0.19370946,-0.20170632
2022-11-13 21:00:00+00:00,-0.19750762,-0.20061848,-0.19478929,-0.19201419,-0.20225352
2022-11-13 22:00:00+00:00,-0.19535032,-0.20049387,-0.19646758,-0.18984213,-0.20237991
2022-11-13 23:00:00+00:00,-0.19361475,-0.20081642,-0.19738257,-0.18871763,-0.2013419
2022-11-14 00:00:00+00:00,-0.19197148,-0.20006448,-0.19807333,-0.1876502,-0.1996513
2022-11-14 01:00:00+00:00,-0.19053766,-0.19768989,-0.19864407,-0.18651772,-0.19793013
2022-11-14 02:00:00+00:00,-0.1894677,-0.19457632,-0.19952404,-0.18565929,-0.19717121
2022-11-14 03:00:00+00:00,-0.18855068,-0.1950737,-0.20125291,-0.18471482,-0.1973913
2022-11-14 04:00:00+00:00,-0.18636668,-0.1958299,-0.20286942,-0.1823703,-0.19718552
