,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9,pred_res_mean,std_dev
2022-11-13 04:00:00+00:00,-0.19503942,-0.18790011,-0.19224688,-0.19507575,-0.18434797,-0.1936444,-0.1899542,-0.18829048,-0.19075614,-0.1958226,-0.1913078,0.0037437319
2022-11-13 05:00:00+00:00,-0.19461545,-0.18834648,-0.19214013,-0.19504507,-0.1861834,-0.19315565,-0.19000874,-0.1899656,-0.19064493,-0.19564568,-0.19157512,0.0030925553
2022-11-13 06:00:00+00:00,-0.19216837,-0.18900938,-0.19196883,-0.19493306,-0.19051655,-0.19232678,-0.19070819,-0.19339477,-0.19024298,-0.1952202,-0.19204892,0.00202568
2022-11-13 07:00:00+00:00,-0.18973628,-0.19070856,-0.19266078,-0.19406703,-0.19545807,-0.1910913,-0.19169247,-0.1965295,-0.19116807,-0.19464839,-0.19277604,0.002274984
2022-11-13 08:00:00+00:00,-0.18896729,-0.18796445,-0.18874338,-0.1963121,-0.18943158,-0.18801135,-0.18633851,-0.19470792,-0.18842538,-0.1939447,-0.19028465,0.0033946054
2022-11-13 09:00:00+00:00,-0.18500775,-0.1813872,-0.19067399,-0.19744273,-0.18363898,-0.18443546,-0.18381521,-0.1935824,-0.18624215,-0.19391155,-0.18801375,0.005451123
2022-11-13 10:00:00+00:00,-0.18238676,-0.18068814,-0.19222637,-0.1976471,-0.18461835,-0.18249694,-0.1837951,-0.19431269,-0.18516694,-0.19375528,-0.18770936,0.0061051506
2022-11-13 11:00:00+00:00,-0.1796597,-0.18017958,-0.19369254,-0.19786209,-0.18596995,-0.18056351,-0.18340935,-0.1949083,-0.18386744,-0.19196834,-0.18720807,0.006791834
2022-11-13 12:00:00+00:00,-0.17685562,-0.1799797,-0.19523188,-0.19977975,-0.19099352,-0.17949209,-0.18614241,-0.19555444,-0.18463582,-0.1917142,-0.18803796,0.0077927993
2022-11-13 13:00:00+00:00,-0.17705643,-0.1802453,-0.19580823,-0.2020058,-0.19398391,-0.18005413,-0.1881389,-0.19624877,-0.18637763,-0.19284633,-0.18927655,0.008258713
2022-11-13 14:00:00+00:00,-0.17824411,-0.18086831,-0.19604358,-0.20332822,-0.19670723,-0.18124974,-0.19000532,-0.19777492,-0.18803021,-0.19424853,-0.19065002,0.008402799
2022-11-13 15:00:00+00:00,-0.18173072,-0.18133807,-0.19567037,-0.20218049,-0.19408438,-0.18283165,-0.18932536,-0.19720289,-0.1885181,-0.19516136,-0.19080433,0.0072010625
2022-11-13 16:00:00+00:00,-0.18595117,-0.18253233,-0.19432515,-0.20248035,-0.19102544,-0.18531403,-0.18873852,-0.19679558,-0.18977192,-0.19629303,-0.19132273,0.006142418
2022-11-13 17:00:00+00:00,-0.1859023,-0.18256956,-0.19251788,-0.20218414,-0.1854797,-0.1863437,-0.18612292,-0.19637613,-0.18975198,-0.1970698,-0.1904318,0.0063636363
2022-11-13 18:00:00+00:00,-0.18320063,-0.18262352,-0.18764478,-0.20117809,-0.1794452,-0.18760175,-0.18434997,-0.19487694,-0.18888733,-0.19758344,-0.18873917,0.0070462977
2022-11-13 19:00:00+00:00,-0.17687893,-0.18097207,-0.18290114,-0.1989885,-0.17503554,-0.18730271,-0.1819579,-0.19188976,-0.18589456,-0.19516926,-0.18569905,0.0077667595
2022-11-13 20:00:00+00:00,-0.17930165,-0.18179889,-0.18229657,-0.1996802,-0.1768547,-0.18930656,-0.18277413,-0.191594,-0.18670925,-0.19674966,-0.18670657,0.007533003
2022-11-13 21:00:00+00:00,-0.18324484,-0.18305974,-0.18255994,-0.2003155,-0.1790897,-0.19177583,-0.18350717,-0.19150175,-0.18799843,-0.1973021,-0.18803549,0.0069991937
